Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2719,1091,325,51625.210938,0.006295
2,1000,0.6,0.2,50.0,1000,2717,1067,313,51546.601562,0.006072
3,1000,0.6,0.2,50.0,1000,2637,1042,294,50138.031250,0.005864
4,1000,0.6,0.2,50.0,1000,2708,1083,339,51119.968750,0.006631
5,1000,0.6,0.2,50.0,1000,2682,1058,322,50812.421875,0.006337
6,1000,0.6,0.2,50.0,1000,2626,1046,326,49841.304688,0.006541
7,1000,0.6,0.2,50.0,1000,2601,1060,310,49300.886719,0.006288
8,1000,0.6,0.2,50.0,1000,2585,1014,309,49103.503906,0.006293
9,1000,0.6,0.2,50.0,1000,2646,1018,303,50176.906250,0.006039
10,1000,0.6,0.2,50.0,1000,2653,1042,321,50346.449219,0.006376
