Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,91032,7871,381,49891.703125,0.007637
2,1000,0.6,0.2,50.0,1000,113681,8707,183,49314.105469,0.003711
3,1000,0.6,0.2,50.0,1000,106814,8453,220,48502.761719,0.004536
4,1000,0.6,0.2,50.0,1000,58879,6357,642,51380.968750,0.012495
5,1000,0.6,0.2,50.0,1000,104046,8499,300,51769.742188,0.005795
6,1000,0.6,0.2,50.0,1000,79599,7347,441,49940.328125,0.008831
7,1000,0.6,0.2,50.0,1000,116895,8992,147,49620.191406,0.002963
8,1000,0.6,0.2,50.0,1000,104939,8316,260,49843.496094,0.005216
9,1000,0.6,0.2,50.0,1000,62771,6541,624,49615.589844,0.012577
10,1000,0.6,0.2,50.0,1000,120024,8901,134,49891.566406,0.002686
