Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2766,1139,24,51860.031250,0.000463
2,1000,0.6,0.2,50.0,1000,2699,1067,22,50825.523438,0.000433
3,1000,0.6,0.2,50.0,1000,2583,1017,10,50111.937500,0.000200
4,1000,0.6,0.2,50.0,1000,2573,1036,10,49708.015625,0.000201
5,1000,0.6,0.2,50.0,1000,2682,1114,17,50192.335938,0.000339
6,1000,0.6,0.2,50.0,1000,2655,1095,22,50583.117188,0.000435
7,1000,0.6,0.2,50.0,1000,2595,1012,14,48880.015625,0.000286
8,1000,0.6,0.2,50.0,1000,2655,1064,14,48852.683594,0.000287
9,1000,0.6,0.2,50.0,1000,2559,1001,19,49082.722656,0.000387
10,1000,0.6,0.2,50.0,1000,2626,1035,10,50138.886719,0.000199
