Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,454744,8937,168,50808.507812,0.003307
2,1000,0.5,0.2,50.0,1000,448076,8799,171,50006.019531,0.003420
3,1000,0.5,0.2,50.0,1000,172041,5655,691,50016.996094,0.013815
4,1000,0.5,0.2,50.0,1000,460035,8970,131,50246.660156,0.002607
5,1000,0.5,0.2,50.0,1000,484359,9266,166,51871.531250,0.003200
6,1000,0.5,0.2,50.0,1000,466890,8832,142,49311.324219,0.002880
7,1000,0.5,0.2,50.0,1000,474833,9220,117,50511.078125,0.002316
8,1000,0.5,0.2,50.0,1000,169109,5709,718,51922.484375,0.013828
9,1000,0.5,0.2,50.0,1000,239135,6348,602,50624.191406,0.011892
10,1000,0.5,0.2,50.0,1000,36421,4360,911,51389.171875,0.017727
