Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2556,520,80,50518.769531,0.001584
2,1000,0.8,0.2,50.0,1000,2539,534,84,50086.707031,0.001677
3,1000,0.8,0.2,50.0,1000,2602,527,88,51299.386719,0.001715
4,1000,0.8,0.2,50.0,1000,2550,544,77,50333.417969,0.001530
5,1000,0.8,0.2,50.0,1000,2556,522,94,50297.691406,0.001869
6,1000,0.8,0.2,50.0,1000,2589,553,86,51164.019531,0.001681
7,1000,0.8,0.2,50.0,1000,2494,484,83,49187.496094,0.001687
8,1000,0.8,0.2,50.0,1000,2541,511,76,50241.445312,0.001513
9,1000,0.8,0.2,50.0,1000,2536,507,75,50112.515625,0.001497
10,1000,0.8,0.2,50.0,1000,2577,507,75,51007.535156,0.001470
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2556,520,80,50518.769531,0.001584
2,1000,0.8,0.2,50.0,1000,2539,534,84,50086.707031,0.001677
3,1000,0.8,0.2,50.0,1000,2602,527,88,51299.386719,0.001715
4,1000,0.8,0.2,50.0,1000,2550,544,77,50333.417969,0.001530
5,1000,0.8,0.2,50.0,1000,2556,522,94,50297.691406,0.001869
6,1000,0.8,0.2,50.0,1000,2589,553,86,51164.019531,0.001681
7,1000,0.8,0.2,50.0,1000,2494,484,83,49187.496094,0.001687
8,1000,0.8,0.2,50.0,1000,2541,511,76,50241.445312,0.001513
9,1000,0.8,0.2,50.0,1000,2536,507,75,50112.515625,0.001497
10,1000,0.8,0.2,50.0,1000,2577,507,75,51007.535156,0.001470
