Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,116106,8816,156,50126.121094,0.003112
2,1000,0.5,0.2,50.0,1000,111396,8502,165,48452.601562,0.003405
3,1000,0.5,0.2,50.0,1000,49467,5567,691,49509.394531,0.013957
4,1000,0.5,0.2,50.0,1000,118332,8785,117,49286.851562,0.002374
5,1000,0.5,0.2,50.0,1000,118094,8980,154,50456.859375,0.003052
6,1000,0.5,0.2,50.0,1000,119945,8885,119,49662.011719,0.002396
7,1000,0.5,0.2,50.0,1000,123012,9209,102,50385.175781,0.002024
8,1000,0.5,0.2,50.0,1000,47417,5502,716,50759.359375,0.014106
9,1000,0.5,0.2,50.0,1000,57728,5982,598,48554.285156,0.012316
10,1000,0.5,0.2,50.0,1000,22958,4343,911,51295.753906,0.017760
