Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3274,2595,999,50428.515625,0.019810
2,1000,0.2,0.2,50.0,1000,6705,4729,715,51142.804688,0.013980
3,1000,0.2,0.2,50.0,1000,3152,2507,997,50417.816406,0.019775
4,1000,0.2,0.2,50.0,1000,3050,2440,999,49891.066406,0.020024
5,1000,0.2,0.2,50.0,1000,3114,2475,998,50507.683594,0.019759
6,1000,0.2,0.2,50.0,1000,3122,2513,998,51623.003906,0.019332
7,1000,0.2,0.2,50.0,1000,3196,2548,998,49408.167969,0.020199
8,1000,0.2,0.2,50.0,1000,4920,3561,866,50597.230469,0.017116
9,1000,0.2,0.2,50.0,1000,3170,2515,998,50959.289062,0.019584
10,1000,0.2,0.2,50.0,1000,3234,2524,999,49563.527344,0.020156
