Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23879,4810,489,49883.242188,0.009803
2,1000,0.8,0.2,50.0,1000,11916,2393,242,50891.718750,0.004755
3,1000,0.8,0.2,50.0,1000,24127,4759,468,50150.199219,0.009332
4,1000,0.8,0.2,50.0,1000,24649,4998,511,50408.140625,0.010137
5,1000,0.8,0.2,50.0,1000,23574,4703,423,48428.156250,0.008735
6,1000,0.8,0.2,50.0,1000,25010,5044,504,52254.906250,0.009645
7,1000,0.8,0.2,50.0,1000,24042,4786,483,49196.949219,0.009818
8,1000,0.8,0.2,50.0,1000,23993,4909,529,49421.921875,0.010704
9,1000,0.8,0.2,50.0,1000,23555,4753,523,48724.460938,0.010734
10,1000,0.8,0.2,50.0,1000,24705,4847,472,50484.695312,0.009349
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,20077,7551,552,48390.968750,0.011407
2,1000,0.6,0.2,50.0,1000,23120,8620,357,48671.195312,0.007335
3,1000,0.6,0.2,50.0,1000,23743,8857,382,50618.972656,0.007547
4,1000,0.6,0.2,50.0,1000,16372,6316,751,50938.164062,0.014743
5,1000,0.6,0.2,50.0,1000,21871,8209,487,50121.199219,0.009716
6,1000,0.6,0.2,50.0,1000,20184,7599,555,51183.152344,0.010843
7,1000,0.6,0.2,50.0,1000,24428,9171,389,50742.925781,0.007666
8,1000,0.6,0.2,50.0,1000,21868,8087,435,48537.558594,0.008962
9,1000,0.6,0.2,50.0,1000,17026,6452,729,49019.511719,0.014872
10,1000,0.6,0.2,50.0,1000,24464,9037,279,50482.671875,0.005527
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,24549,9074,98,50032.539062,0.001959
2,1000,0.4,0.2,50.0,1000,24829,9090,82,50141.070312,0.001635
3,1000,0.4,0.2,50.0,1000,22248,8367,227,50487.617188,0.004496
4,1000,0.4,0.2,50.0,1000,19737,7491,333,49817.539062,0.006684
5,1000,0.4,0.2,50.0,1000,7242,3623,929,51631.179688,0.017993
6,1000,0.4,0.2,50.0,1000,18841,7303,390,50544.312500,0.007716
7,1000,0.4,0.2,50.0,1000,20824,7975,300,50479.476562,0.005943
8,1000,0.4,0.2,50.0,1000,16260,6420,489,50451.273438,0.009693
9,1000,0.4,0.2,50.0,1000,12143,5204,724,50649.667969,0.014294
10,1000,0.4,0.2,50.0,1000,12638,5461,714,50771.882812,0.014063
