Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,20077,7551,552,48390.968750,0.011407
2,1000,0.6,0.2,50.0,1000,23120,8620,357,48671.195312,0.007335
3,1000,0.6,0.2,50.0,1000,23743,8857,382,50618.972656,0.007547
4,1000,0.6,0.2,50.0,1000,16372,6316,751,50938.164062,0.014743
5,1000,0.6,0.2,50.0,1000,21871,8209,487,50121.199219,0.009716
6,1000,0.6,0.2,50.0,1000,20184,7599,555,51183.152344,0.010843
7,1000,0.6,0.2,50.0,1000,24428,9171,389,50742.925781,0.007666
8,1000,0.6,0.2,50.0,1000,21868,8087,435,48537.558594,0.008962
9,1000,0.6,0.2,50.0,1000,17026,6452,729,49019.511719,0.014872
10,1000,0.6,0.2,50.0,1000,24464,9037,279,50482.671875,0.005527
