Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2812,2253,999,48564.910156,0.020570
2,1000,0.2,0.2,50.0,1000,2836,2288,999,49386.859375,0.020228
3,1000,0.2,0.2,50.0,1000,2926,2325,997,49555.500000,0.020119
4,1000,0.2,0.2,50.0,1000,2892,2315,999,50626.996094,0.019733
5,1000,0.2,0.2,50.0,1000,2738,2194,999,48778.406250,0.020480
6,1000,0.2,0.2,50.0,1000,2853,2307,999,50531.582031,0.019770
7,1000,0.2,0.2,50.0,1000,3003,2391,999,48693.464844,0.020516
8,1000,0.2,0.2,50.0,1000,2701,2179,995,49628.429688,0.020049
9,1000,0.2,0.2,50.0,1000,3071,2421,999,50275.691406,0.019870
10,1000,0.2,0.2,50.0,1000,2881,2286,999,49693.671875,0.020103
