Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1757,1587,999,49228.738281,0.020293
2,1000,0.1,0.2,50.0,1000,1853,1659,999,49234.226562,0.020291
3,1000,0.1,0.2,50.0,1000,1814,1623,998,47996.320312,0.020793
4,1000,0.1,0.2,50.0,1000,1820,1628,999,50694.828125,0.019706
5,1000,0.1,0.2,50.0,1000,1771,1582,998,50094.507812,0.019922
6,1000,0.1,0.2,50.0,1000,1762,1600,999,49457.882812,0.020199
7,1000,0.1,0.2,50.0,1000,1830,1630,999,50180.812500,0.019908
8,1000,0.1,0.2,50.0,1000,1786,1612,999,51429.234375,0.019425
9,1000,0.1,0.2,50.0,1000,1860,1667,999,49117.433594,0.020339
10,1000,0.1,0.2,50.0,1000,1808,1614,999,50259.570312,0.019877
