Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,220435,7469,425,50825.140625,0.008362
2,1000,0.5,0.2,50.0,1000,258568,7993,290,50436.757812,0.005750
3,1000,0.5,0.2,50.0,1000,296689,8539,160,49451.695312,0.003235
4,1000,0.5,0.2,50.0,1000,323571,9082,121,51037.242188,0.002371
5,1000,0.5,0.2,50.0,1000,24872,4088,934,50523.226562,0.018487
6,1000,0.5,0.2,50.0,1000,254042,8064,309,50378.746094,0.006134
7,1000,0.5,0.2,50.0,1000,261060,7953,302,49649.914062,0.006083
8,1000,0.5,0.2,50.0,1000,282635,8248,223,49720.566406,0.004485
9,1000,0.5,0.2,50.0,1000,148348,6258,609,49275.042969,0.012359
10,1000,0.5,0.2,50.0,1000,219661,7614,380,50727.113281,0.007491
