Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,46036,8664,87,49738.933594,0.001749
2,1000,0.8,0.2,50.0,1000,44828,8238,122,49241.234375,0.002478
3,1000,0.8,0.2,50.0,1000,45148,8381,113,50049.074219,0.002258
4,1000,0.8,0.2,50.0,1000,49078,8928,89,50154.160156,0.001775
5,1000,0.8,0.2,50.0,1000,44741,8198,205,49820.980469,0.004115
6,1000,0.8,0.2,50.0,1000,48146,9268,199,49486.046875,0.004021
7,1000,0.8,0.2,50.0,1000,43717,8172,107,49568.449219,0.002159
8,1000,0.8,0.2,50.0,1000,46184,8532,181,49781.000000,0.003636
9,1000,0.8,0.2,50.0,1000,44478,8387,88,49201.457031,0.001789
10,1000,0.8,0.2,50.0,1000,47039,8936,85,51225.253906,0.001659
